Student ID,Courses
1743930,HarvardX/CS50x/2012
1015522,HarvardX/CS50x/2012
3433774,HarvardX/PH278x/2013_Spring,HarvardX/SPU27x/2013_Oct
4297215,HarvardX/PH278x/2013_Spring
1878446,HarvardX/CB22x/2013_Spring,HarvardX/CS50x/2012,HarvardX/ER22x/2013_Spring
1689264,HarvardX/PH207x/2012_Fall
5939133,HarvardX/PH207x/2012_Fall
1875878,HarvardX/HSPH-HMS214x/2013_SOND,HarvardX/MCB80.1x/2013_SOND
9752053,HarvardX/ER22x/2013_Spring
5959329,HarvardX/PH207x/2012_Fall
9752051,HarvardX/ER22x/2013_Spring
424484,HarvardX/SPU27x/2013_Oct
3100680,HarvardX/PH278x/2013_Spring
3380897,HarvardX/PH278x/2013_Spring
6024154,HarvardX/CS50x/2012
9080857,HarvardX/ER22x/2013_Spring
9331444,HarvardX/CS50x/2012,HarvardX/ER22x/2013_Spring
9355012,HarvardX/CS50x/2012
4942730,HarvardX/PH278x/2013_Spring,HarvardX/SPU27x/2013_Oct
5997757,HarvardX/HLS1xB/Copyright
3969890,HarvardX/CS50x/2012
6305354,HarvardX/SPU27x/2013_Oct
7012630,HarvardX/PH207x/2012_Fall
5526,HarvardX/CS50x/2012
1957031,HarvardX/ER22x/2013_Spring
235127,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
7218903,HarvardX/CB22x/2013_Spring
9339637,HarvardX/PH278x/2013_Spring
3804185,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
8460366,HarvardX/CS50x/2012
2894757,HarvardX/ER22x/2013_Spring
7389553,HarvardX/CS50x/2012
1865392,HarvardX/CS50x/2012
9736413,HarvardX/CS50x/2012
9669657,HarvardX/PH278x/2013_Spring
6278900,HarvardX/PH207x/2012_Fall
3943005,HarvardX/CS50x/2012
1701770,HarvardX/ER22x/2013_Spring
7672390,HarvardX/CS50x/2012
952050,HarvardX/CS50x/2012
5813518,HarvardX/CS50x/2012
6994416,HarvardX/CB22x/2013_Spring,HarvardX/CS50x/2012,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
8376872,HarvardX/CS50x/2012
6923253,HarvardX/CS50x/2012
3451322,HarvardX/CS50x/2012
9634262,HarvardX/CS50x/2012
7290395,HarvardX/CS50x/2012
9259373,HarvardX/CS50x/2012
1476660,HarvardX/ER22x/2013_Spring
2270935,HarvardX/ER22x/2013_Spring
